Time Opened,Time Closed,Asset,Direction,Entry Price,Exit Price,PnL %,Est PnL USD,Exit Reason,Held (mins),Entry RSI,Entry Trend,Strategy
2026-06-08T15:32:02.495127+00:00,2026-06-08T15:57:03.274612+00:00,BTC/USDT,long,63912.1,63807.6,-0.1635,-41.8,time_exit,25.0,36.28,DOWN,19
2026-06-08T16:17:06.327960+00:00,2026-06-08T16:34:55.416056+00:00,BTC/USDT,long,63864.0,63667.0,-0.3085,-78.8,stop_loss,17.8,40.98,UP,19
2026-06-08T16:38:01.551854+00:00,2026-06-08T17:00:53.868788+00:00,BTC/USDT,long,63650.2,63456.1,-0.3049,-77.64,stop_loss,22.9,18.68,DOWN,19
2026-06-08T17:36:06.030540+00:00,2026-06-08T18:01:09.784375+00:00,BTC/USDT,long,63352.1,63583.4,0.3651,92.52,time_exit,25.1,39.07,DOWN,19
2026-06-08T18:05:28.875026+00:00,2026-06-08T18:30:30.186280+00:00,BTC/USDT,long,63606.5,63687.7,0.1277,32.48,time_exit,25.0,39.18,UP,19
2026-06-08T18:32:56.996702+00:00,2026-06-08T18:48:23.010823+00:00,BTC/USDT,long,63575.9,63382.3,-0.3045,-77.44,stop_loss,15.4,39.91,DOWN,19
2026-06-08T18:49:51.720972+00:00,2026-06-08T19:14:54.950880+00:00,BTC/USDT,long,63382.8,63431.2,0.0764,19.36,time_exit,25.1,37.04,DOWN,19
2026-06-08T19:17:17.944206+00:00,2026-06-08T19:42:19.607089+00:00,BTC/USDT,long,63405.4,63507.1,0.1604,40.68,time_exit,25.0,39.62,DOWN,19
2026-06-08T19:52:05.409388+00:00,2026-06-08T20:12:56.642036+00:00,BTC/USDT,long,63450.3,63257.0,-0.3046,-77.32,stop_loss,20.9,40.91,DOWN,19
2026-06-08T20:14:29.344928+00:00,2026-06-08T20:39:33.691579+00:00,BTC/USDT,long,63251.6,63326.2,0.1179,29.84,time_exit,25.1,40.64,DOWN,19
2026-06-08T21:56:09.396987+00:00,2026-06-08T22:01:09.904534+00:00,BTC/USDT,long,63754.1,63553.5,-0.3146,-60.18,stop_loss,5.0,40.46,DOWN,20
2026-06-08T22:03:59.191147+00:00,2026-06-08T22:13:07.976434+00:00,BTC/USDT,long,63551.2,63350.0,-0.3166,-60.36,stop_loss,9.1,26.01,DOWN,20
2026-06-08T22:14:29.032557+00:00,2026-06-08T22:39:32.435516+00:00,BTC/USDT,long,63317.0,63327.9,0.0172,3.27,time_exit,25.1,21.01,DOWN,20
2026-06-08T23:19:38.445160+00:00,2026-06-08T23:44:42.243277+00:00,BTC/USDT,long,63100.1,63144.6,0.0705,13.35,time_exit,25.1,38.56,DOWN,20
2026-06-08T23:48:02.199239+00:00,2026-06-09T00:13:04.484321+00:00,BTC/USDT,long,63039.7,63053.0,0.0211,3.99,time_exit,25.0,38.53,DOWN,20
2026-06-09T00:40:06.116245+00:00,2026-06-09T00:49:39.179800+00:00,BTC/USDT,long,62628.6,62430.2,-0.3168,-59.52,stop_loss,9.6,36.52,DOWN,20
2026-06-09T00:51:02.000417+00:00,2026-06-09T01:03:36.939511+00:00,BTC/USDT,long,62451.8,62704.0,0.4038,75.66,take_profit,12.6,39.57,DOWN,20
2026-06-09T01:19:55.545486+00:00,2026-06-09T01:44:56.739840+00:00,BTC/USDT,long,62663.0,62710.1,0.0752,14.13,time_exit,25.0,40.69,DOWN,20
2026-06-09T01:46:33.715453+00:00,2026-06-09T02:11:38.114815+00:00,BTC/USDT,long,62737.3,62784.3,0.0749,14.1,time_exit,25.1,37.71,DOWN,20
2026-06-09T02:37:06.759767+00:00,2026-06-09T02:59:07.245253+00:00,BTC/USDT,long,62600.2,62865.4,0.4236,79.56,take_profit,22.0,40.45,DOWN,20
2026-06-09T03:21:48.922942+00:00,2026-06-09T03:46:53.813512+00:00,BTC/USDT,long,62859.1,62774.5,-0.1346,-25.38,time_exit,25.1,40.96,DOWN,20
2026-06-09T05:10:38.965214+00:00,2026-06-09T05:35:40.770524+00:00,BTC/USDT,long,63146.2,63512.1,0.5794,109.77,time_exit,25.0,39.79,DOWN,21
2026-06-09T05:48:14.590573+00:00,2026-06-09T06:13:19.618784+00:00,BTC/USDT,long,63417.1,63378.3,-0.0612,-11.64,time_exit,25.1,37.24,UP,21
2026-06-09T06:20:46.655782+00:00,2026-06-09T06:45:48.929611+00:00,BTC/USDT,long,63427.7,63384.5,-0.0681,-12.96,time_exit,25.0,40.92,UP,21
2026-06-09T06:49:58.947526+00:00,2026-06-09T07:14:59.851136+00:00,BTC/USDT,long,63321.5,63309.2,-0.0194,-3.69,time_exit,25.0,40.93,DOWN,21
2026-06-09T07:30:03.266685+00:00,2026-06-09T07:55:07.119374+00:00,BTC/USDT,long,63045.2,63197.1,0.2409,45.57,time_exit,25.1,40.77,DOWN,21
2026-06-09T07:57:24.050816+00:00,2026-06-09T08:05:19.292688+00:00,BTC/USDT,long,63188.9,62992.1,-0.3114,-59.04,stop_loss,7.9,40.86,UP,21
2026-06-09T08:07:09.738627+00:00,2026-06-09T08:11:11.896147+00:00,BTC/USDT,long,62967.5,62778.0,-0.3009,-56.85,stop_loss,4.0,28.81,DOWN,21
2026-06-09T08:11:17.833360+00:00,2026-06-09T08:36:19.324644+00:00,BTC/USDT,long,62778.0,62905.8,0.2036,38.34,time_exit,25.0,33.23,DOWN,21
2026-06-09T08:47:43.640746+00:00,2026-06-09T09:08:10.748606+00:00,BTC/USDT,long,62938.6,62747.2,-0.3041,-57.42,stop_loss,20.5,40.61,UP,21
2026-06-09T09:12:48.464137+00:00,2026-06-09T09:37:49.501644+00:00,BTC/USDT,long,62766.4,62634.1,-0.2108,-39.69,time_exit,25.0,40.7,DOWN,21
2026-06-09T09:39:04.216221+00:00,2026-06-09T10:04:06.441362+00:00,BTC/USDT,long,62634.4,62781.1,0.2342,44.01,time_exit,25.0,26.45,DOWN,21
2026-06-09T10:06:58.197088+00:00,2026-06-09T10:31:59.398742+00:00,BTC/USDT,long,62654.9,62702.5,0.076,14.28,time_exit,25.0,32.54,DOWN,21
2026-06-09T10:34:14.153937+00:00,2026-06-09T10:59:16.187069+00:00,BTC/USDT,long,62669.8,62795.9,0.2012,37.83,time_exit,25.0,39.32,DOWN,21
2026-06-09T11:05:59.542620+00:00,2026-06-09T11:31:02.970205+00:00,BTC/USDT,long,62603.0,62615.8,0.0204,3.84,time_exit,25.1,40.57,DOWN,21
2026-06-09T11:34:03.474836+00:00,2026-06-09T11:59:03.794357+00:00,BTC/USDT,long,62613.1,62723.2,0.1758,33.03,time_exit,25.0,39.61,UP,21
2026-06-09T18:57:16.780759+00:00,2026-06-09T20:15:13.840571+00:00,BTC/USDT,short,61788.0,62252.0,-0.751,-232.0,stop_loss,78.0,58.6,DOWN,30
2026-06-09T21:03:45.562531+00:00,2026-06-09T23:03:58.054501+00:00,BTC/USDT,short,62078.6,61779.3,0.4821,149.65,time_exit,120.2,61.02,DOWN,31
2026-06-10T00:30:21.926777+00:00,2026-06-10T02:17:23.667500+00:00,BTC/USDT,long,61867.3,61367.3,-0.8082,-200.0,stop_loss,107.0,37.54,UP,33
2026-06-10T04:00:48.925634+00:00,2026-06-10T06:00:58.341091+00:00,BTC/USDT,short,61545.1,61349.1,0.3185,78.4,time_exit,120.2,58.23,DOWN,33
2026-06-10T07:18:27.169160+00:00,2026-06-10T08:46:47.039973+00:00,BTC/USDT,long,61674.0,61180.0,-0.801,-197.6,stop_loss,88.3,41.12,UP,33
2026-06-10T19:19:32.294993+00:00,2026-06-10T21:19:38.551154+00:00,BTC/USDT,long,61765.9,61606.3,-0.2584,-63.84,time_exit,120.1,42.94,UP,34
2026-06-11T07:15:52.511468+00:00,2026-06-11T09:15:54.749385+00:00,BTC/USDT,long,62664.4,62836.5,0.2746,68.84,time_exit,120.0,41.47,UP,34
2026-06-11T09:31:00.720168+00:00,2026-06-11T11:31:17.089734+00:00,BTC/USDT,long,62827.0,63215.0,0.6176,155.2,time_exit,120.3,44.41,UP,34
2026-06-11T14:15:16.626152+00:00,2026-06-11T16:15:22.052738+00:00,BTC/USDT,long,62829.4,62838.2,0.014,3.52,time_exit,120.1,41.02,UP,34
2026-06-12T03:30:34.285081+00:00,2026-06-12T05:30:53.240226+00:00,BTC/USDT,long,63458.4,63496.7,0.0604,15.32,time_exit,120.3,44.77,UP,34
2026-06-12T06:00:03.564610+00:00,2026-06-12T08:00:32.015773+00:00,BTC/USDT,short,63336.6,63105.7,0.3646,92.36,time_exit,120.5,59.65,DOWN,35
2026-06-12T08:19:00.997579+00:00,2026-06-12T10:19:24.980380+00:00,BTC/USDT,long,63451.8,63754.0,0.4763,120.88,time_exit,120.4,34.17,UP,35
2026-06-12T10:23:54.316250+00:00,2026-06-12T12:24:00.427738+00:00,BTC/USDT,long,63773.8,63596.6,-0.2779,-70.88,time_exit,120.1,39.0,UP,35
2026-06-12T12:27:57.821892+00:00,2026-06-12T14:28:27.093187+00:00,BTC/USDT,long,63511.5,63604.4,0.1463,37.16,time_exit,120.5,44.47,UP,35
2026-06-12T14:34:34.135850+00:00,2026-06-12T16:34:45.147231+00:00,BTC/USDT,long,63645.3,63903.1,0.4051,103.12,time_exit,120.2,43.02,UP,35
2026-06-12T18:30:23.730602+00:00,2026-06-12T20:30:32.015756+00:00,BTC/USDT,long,63770.8,63545.6,-0.3531,-90.08,time_exit,120.1,44.15,UP,36
2026-06-13T01:08:17.202967+00:00,2026-06-13T03:08:19.484030+00:00,BTC/USDT,long,63654.7,63685.0,0.0476,12.12,time_exit,120.0,44.16,UP,36
2026-06-13T04:48:58.607771+00:00,2026-06-13T06:49:23.246593+00:00,BTC/USDT,long,63642.9,63695.1,0.082,20.88,time_exit,120.4,42.19,UP,36
2026-06-13T10:00:20.667235+00:00,2026-06-13T12:00:26.972118+00:00,BTC/USDT,long,63757.9,63970.0,0.3327,84.84,time_exit,120.1,42.48,UP,36
2026-06-13T16:04:15.633193+00:00,2026-06-13T18:04:44.213162+00:00,BTC/USDT,long,64096.3,64004.9,-0.1426,-36.56,time_exit,120.5,40.55,UP,36
2026-06-13T18:04:49.346319+00:00,2026-06-13T20:05:12.849333+00:00,BTC/USDT,long,64004.9,64271.5,0.4165,106.64,time_exit,120.4,34.36,UP,37
2026-06-14T04:15:19.584113+00:00,2026-06-14T06:15:22.269572+00:00,BTC/USDT,long,64500.1,64478.4,-0.0336,-6.51,time_exit,120.0,44.61,UP,37
2026-06-14T08:00:28.651633+00:00,2026-06-14T10:00:43.419673+00:00,BTC/USDT,short,64422.2,64580.6,-0.2459,-47.52,time_exit,120.2,58.41,DOWN,37
2026-06-14T12:15:24.135429+00:00,2026-06-14T14:15:32.057111+00:00,BTC/USDT,long,64492.4,64313.1,-0.278,-53.79,time_exit,120.1,44.99,UP,37
2026-06-14T20:36:33.962677+00:00,2026-06-14T21:19:08.002022+00:00,BTC/USDT,short,64088.0,64744.3,-1.0241,-196.89,stop_loss,42.6,58.04,DOWN,37
2026-06-15T01:05:05.744309+00:00,2026-06-15T03:05:14.008017+00:00,BTC/USDT,long,65362.1,65587.2,0.3444,45.02,time_exit,120.1,44.87,UP,38
2026-06-15T07:00:18.479870+00:00,2026-06-15T09:00:28.379988+00:00,BTC/USDT,long,65810.3,65691.7,-0.1802,-23.72,time_exit,120.2,44.4,UP,38
2026-06-15T09:01:37.585328+00:00,2026-06-15T11:02:06.602859+00:00,BTC/USDT,long,65682.4,65942.9,0.3966,52.1,time_exit,120.5,33.85,UP,38
